team,name,PA,BsR,wOBA
Cardinals,Paul DeJong,600,0.2,0.321
Cardinals,Patrick Wisdom,600,0.5,0.28300000000000003
Cardinals,Harrison Bader,600,1.7,0.303
Cardinals,Kolten Wong,600,1.9,0.322
Cardinals,Francisco Pena,600,-0.3,0.273
Tigers,Jeimer Candelario,600,0.5,0.313
Tigers,Niko Goodrum,600,0.6,0.295
Tigers,Nicholas Castellanos,600,-0.8,0.33899999999999997
Tigers,Victor Martinez,600,-5.7,0.317
Tigers,Mikie Mahtook,600,-0.1,0.305
Tigers,James McCann,600,-1.9,0.29
Tigers,Ronny Rodriguez,600,-0.8,0.299
Tigers,Dawel Lugo,600,0.4,0.287
Tigers,Victor Reyes,600,0.2,0.28
Royals,Whit Merrifield,600,1.8,0.319
Royals,Adalberto Mondesi,600,2.8,0.28800000000000003
Royals,Alex Gordon,600,0.5,0.309
Royals,Hunter Dozier,600,-0.7,0.29100000000000004
Royals,Jorge Bonifacio,600,0.3,0.303
Royals,Salvador Perez,600,-2.3,0.317
Royals,Rosell Herrera,600,-0.1,0.28800000000000003
Royals,Alcides Escobar,600,1.5,0.272
Royals,Cam Gallagher,600,0.1,0.289
Twins,Joe Mauer,600,-1.7,0.32899999999999996
Twins,Jorge Polanco,600,0.1,0.319
Twins,Eddie Rosario,600,2.4,0.33299999999999996
Twins,Logan Forsythe,600,-0.3,0.321
Twins,Jake Cave,600,-0.3,0.304
Twins,Mitch Garver,600,-0.2,0.314
Twins,Max Kepler,600,1.1,0.331
Twins,Robbie Grossman,600,-0.4,0.326
Twins,Ehire Adrianza,600,-0.3,0.293
Angels,Kole Calhoun,600,0.5,0.321
Angels,David Fletcher,600,0.6,0.295
Angels,Mike Trout,600,3.0,0.42700000000000005
Angels,Justin Upton,600,1.1,0.34
Angels,Shohei Ohtani,600,0.1,0.355
Angels,Andrelton Simmons,600,-0.8,0.314
Angels,Jefry Marte,600,-0.6,0.3
Angels,Taylor Ward,600,0.0,0.305
Angels,Jose Briceno,600,-0.6,0.261
White Sox,Yoan Moncada,600,0.9,0.304
White Sox,Yolmer Sanchez,600,-0.8,0.295
White Sox,Nicky Delmonico,600
White Sox,Avisail Garcia,600,-0.5,0.32899999999999996
White Sox,Daniel Palka,600,-0.7,0.309
White Sox,Matt Davidson,600,-1.4,0.302
White Sox,Omar Narvaez,600,-1.0,0.304
White Sox,Tim Anderson,600,1.0,0.294
White Sox,Adam Engel,600,2.1,0.268
Giants,Lorenzo Cain,600,1.5,0.341
Giants,Christian Yelich,600,2.0,0.37200000000000005
Giants,Jesus Aguilar,600,-0.7,0.33
Giants,Ryan Braun,600,-1.8,0.34299999999999997
Giants,Jonathan Schoop,600,-1.2,0.318
Giants,Travis Shaw,600,-0.6,0.335
Giants,Hernan Perez,600,1.2,0.29600000000000004
Giants,Manny Pina,600,-1.4,0.301
Giants,Chase Anderson,600
Dodgers,Joc Pederson,600,0.8,0.354
Dodgers,Justin Turner,600,-0.5,0.36700000000000005
Dodgers,Manny Machado,600,-0.7,0.35700000000000004
Dodgers,Max Muncy,600,-0.1,0.327
Dodgers,Cody Bellinger,600,0.7,0.34
Dodgers,Enrique Hernandez,600,1.1,0.316
Dodgers,Yasmani Grandal,600,-2.6,0.332
Dodgers,Yasiel Puig,600,-1.5,0.35200000000000004
Dodgers,Clayton Kershaw,600
Rockies,Charlie Blackmon,600,1.1,0.35700000000000004
Rockies,DJ LeMahieu,600,-0.8,0.342
Rockies,Nolan Arenado,600,-0.3,0.381
Rockies,Trevor Story,600,0.5,0.354
Rockies,Matt Holliday,600,-2.9,0.35200000000000004
Rockies,Ian Desmond,600,1.2,0.336
Rockies,Carlos Gonzalez,600,0.0,0.35100000000000003
Rockies,Drew Butera,600,-0.4,0.29
Rockies,Jon Gray,600
Braves,Jon Jay,600,-0.3,0.308
Braves,Eduardo Escobar,600,0.6,0.315
Braves,Paul Goldschmidt,600,0.9,0.384
Braves,David Peralta,600,0.8,0.34600000000000003
Braves,A.J. Pollock,600,1.3,0.336
Braves,Daniel Descalso,600,0.8,0.315
Braves,Nick Ahmed,600,0.4,0.29100000000000004
Braves,Alex Avila,600,-1.8,0.308
Braves,Patrick Corbin,600
